date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:04	67/67	---M--	200	added ('OK')	text/plain	date:Fri,%2026%20Jul%202019%2017:35:01%20GMT	https://proraftingtours.com/robots.txt		(from )
11:35:05	116472/116472	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202019%2017:35:02%20GMT	https://proraftingtours.com/	./data/2019-07-26/proraftingtours.com/index.html	(from )
11:35:05	3627/3627	---M-Z	200	added ('OK')	text/css	etag:%22e2b-586ef8d55799e-gzip%22	https://proraftingtours.com/wp-content/themes/prorafttours/FormPopUp/modals.css	./data/2019-07-26/proraftingtours.com/wp-content/themes/prorafttours/FormPopUp/modals.css	(from https://proraftingtours.com/)
11:35:06	2920/2920	---M-Z	200	added ('OK')	text/css	etag:%22b68-586ef8d552b7e-gzip%22	https://proraftingtours.com/wp-content/themes/prorafttours/FormPopUp/OriginalPopUp.css	./data/2019-07-26/proraftingtours.com/wp-content/themes/prorafttours/FormPopUp/OriginalPopUp.css	(from https://proraftingtours.com/)
11:35:07	25242/25242	---M-Z	200	added ('OK')	text/css	etag:%22629a-586f080d4fc3e-gzip%22	https://proraftingtours.com/wp-includes/css/dist/block-library/style.min.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-includes/css/dist/block-library/style.min3c21.css	(from https://proraftingtours.com/)
11:35:08	1031/1031	---M-Z	200	added ('OK')	text/css	etag:%22407-586f080d9901e-gzip%22	https://proraftingtours.com/wp-includes/css/dist/block-library/theme.min.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-includes/css/dist/block-library/theme.min3c21.css	(from https://proraftingtours.com/)
11:35:09	2075/2075	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ea1730affe51a22ec692ab7b5f0de4c5-gzip%22	https://proraftingtours.com/feed/	./data/2019-07-26/proraftingtours.com/feed/index.html	(from https://proraftingtours.com/)
11:35:09	1685/1685	---M-Z	200	added ('OK')	text/css	etag:%22695-586f0325bd01e-gzip%22	https://proraftingtours.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-content/plugins/contact-form-7/includes/css/styles3c21.css	(from https://proraftingtours.com/)
11:35:09	957/957	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a73e31a241609875e6aa31f56654fd14-gzip%22	https://proraftingtours.com/comments/feed/	./data/2019-07-26/proraftingtours.com/comments/feed/index.html	(from https://proraftingtours.com/)
11:35:10	971/971	---M-Z	200	added ('OK')	text/css	etag:%223cb-586ef86d6b1be-gzip%22	https://proraftingtours.com/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.10.0	./data/2019-07-26/proraftingtours.com/wp-content/plugins/siteorigin-panels/css/front-flex.min0ad8.css	(from https://proraftingtours.com/)
11:35:11	6560/6560	---M-Z	200	added ('OK')	text/css	etag:%2219a0-586f03c20ca1e-gzip%22	https://proraftingtours.com/wp-content/plugins/so-widgets-bundle/css/slider/slider.css?ver=1.14.1	./data/2019-07-26/proraftingtours.com/wp-content/plugins/so-widgets-bundle/css/slider/slider14b6.css	(from https://proraftingtours.com/)
11:35:12	2674/2674	---M-Z	200	added ('OK')	text/css	etag:%22a72-58dc6233fd9c2-gzip%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-da80dcd6cfc7.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-da80dcd6cfc73c21.css	(from https://proraftingtours.com/)
11:35:13	2663/2663	---M-Z	200	added ('OK')	text/css	etag:%22a67-58dc62340f302-gzip%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-5ecb17bd4f64.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-5ecb17bd4f643c21.css	(from https://proraftingtours.com/)
11:35:14	2704/2704	---M-Z	200	added ('OK')	text/css	etag:%22a90-58e53f502ff42-gzip%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-41b3c415a831.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-41b3c415a8313c21.css	(from https://proraftingtours.com/)
11:35:15	2675/2675	---M-Z	200	added ('OK')	text/css	etag:%22a73-58dc623424ac2-gzip%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-5337f26d103d.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-5337f26d103d3c21.css	(from https://proraftingtours.com/)
11:35:16	2672/2672	---M-Z	200	added ('OK')	text/css	etag:%22a70-58dc623436402-gzip%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-dc7629d50720.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-dc7629d507203c21.css	(from https://proraftingtours.com/)
11:35:17	1045/1045	---M-Z	200	added ('OK')	text/css	etag:%22415-586f05757a5be-gzip%22	https://proraftingtours.com/wp-content/plugins/so-widgets-bundle/widgets/testimonial/css/style.css?ver=1.14.1	./data/2019-07-26/proraftingtours.com/wp-content/plugins/so-widgets-bundle/widgets/testimonial/css/style14b6.css	(from https://proraftingtours.com/)
11:35:18	4833/4833	---M-Z	200	added ('OK')	text/css	etag:%2212e1-58dc623449c82-gzip%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-testimonials-default-440893893897.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-testimonials-default-4408938938973c21.css	(from https://proraftingtours.com/)
11:35:19	2714/2714	---M-Z	200	added ('OK')	text/css	etag:%22a9a-58e55631d1aa2-gzip%22	https://proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-eade282d24e4.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-content/uploads/siteorigin-widgets/sow-hero-default-eade282d24e43c21.css	(from https://proraftingtours.com/)
11:35:20	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-586f047c4c51e-gzip%22	https://proraftingtours.com/wp-content/plugins/wp-gotowebinar/inc/external/font-awesome.min.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-content/plugins/wp-gotowebinar/inc/external/font-awesome.min3c21.css	(from https://proraftingtours.com/)
11:35:21	15362/15362	---M-Z	200	added ('OK')	text/css	etag:%223c02-586f047c457be-gzip%22	https://proraftingtours.com/wp-content/plugins/wp-gotowebinar/inc/external/fullcalendar.min.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-content/plugins/wp-gotowebinar/inc/external/fullcalendar.min3c21.css	(from https://proraftingtours.com/)
11:35:22	5007/5007	---M-Z	200	added ('OK')	text/css	etag:%22138f-586ef8d231efe-gzip%22	https://proraftingtours.com/wp-content/plugins/wp-gotowebinar/inc/style.css?ver=13.6	./data/2019-07-26/proraftingtours.com/wp-content/plugins/wp-gotowebinar/inc/style11e6.css	(from https://proraftingtours.com/)
11:35:23	17253/17253	---M-Z	200	added ('OK')	text/css	etag:%224365-586ef7d68e03e-gzip%22	https://proraftingtours.com/wp-content/themes/prorafttours/style.css?ver=5.1.1	./data/2019-07-26/proraftingtours.com/wp-content/themes/prorafttours/style3c21.css	(from https://proraftingtours.com/)
11:35:24	39756/39756	---M-Z	200	added ('OK')	text/css	etag:%229b4c-586ef7d97a0fe-gzip%22	https://proraftingtours.com/wp-content/themes/storefront/style.css?ver=2.4.2	./data/2019-07-26/proraftingtours.com/wp-content/themes/storefront/stylea305.css	(from https://proraftingtours.com/)
11:35:25	48146/48146	---M-Z	200	added ('OK')	text/css	etag:%22bc12-586f05e849f5e-gzip%22	https://proraftingtours.com/wp-content/themes/storefront/assets/css/base/gutenberg-blocks.css?ver=2.4.2	./data/2019-07-26/proraftingtours.com/wp-content/themes/storefront/assets/css/base/gutenberg-blocksa305.css	(from https://proraftingtours.com/)
11:35:26	78273/78273	---M-Z	200	added ('OK')	text/css	etag:%22131c1-586f05e8a4c7e-gzip%22	https://proraftingtours.com/wp-content/themes/storefront/assets/css/base/icons.css?ver=2.4.2	./data/2019-07-26/proraftingtours.com/wp-content/themes/storefront/assets/css/base/iconsa305.css	(from https://proraftingtours.com/)
11:35:27	52615/52615	---M-Z	200	added ('OK')	text/css	etag:%22cd87-586f05eb7193e-gzip%22	https://proraftingtours.com/wp-content/themes/storefront/assets/css/woocommerce/woocommerce.css?ver=2.4.2	./data/2019-07-26/proraftingtours.com/wp-content/themes/storefront/assets/css/woocommerce/woocommercea305.css	(from https://proraftingtours.com/)
11:35:28	17253/17253	---M-Z	200	added ('OK')	text/css	etag:%224365-586ef7d68e03e-gzip%22	https://proraftingtours.com/wp-content/themes/prorafttours/style.css?ver=1.0.0	./data/2019-07-26/proraftingtours.com/wp-content/themes/prorafttours/style8a54.css	(from https://proraftingtours.com/)
11:35:29	22081/22081	---M-Z	200	added ('OK')	application/javascript	etag:%225641-586ef880379be-gzip%22	https://proraftingtours.com/wp-content/plugins/so-widgets-bundle/js/jquery.cycle.min.js?ver=1.14.1	./data/2019-07-26/proraftingtours.com/wp-content/plugins/so-widgets-bundle/js/jquery.cycle.min14b6.js	(from https://proraftingtours.com/)
